text,entities_extracted,organization,exam_name,vacancies
"UPSC Recruitment 2025 - Degree College Lecturer

The Union Public Service Commission has announced 5000 vacancies.
Eligible candidates having B.Sc. Nursing from recognized institute can apply.
Candidates age should not exceed 18-27 years.
Pay: ₹21,700-₹69,100 (7th CPC)
Fee: ₹1500
Apply from: 25-Mar-2026
Apply before: 09 February 2026
Exam: 06/12/2027
Experience required: 1 years of experience in relevant field","ORGANIZATION:UPSC; POST_NAME:Degree College Lecturer; VACANCY_COUNT:5000; QUALIFICATION:B.Sc. Nursing from recognized institute; AGE_LIMIT:18-27 years; PAY_SCALE:₹21,700-₹69,100 (7th CPC); APPLICATION_FEE:₹1500; START_DATE:25-Mar-2026; LAST_DATE:09 February 2026; EXAM_DATE:06/12/2027; EXPERIENCE:1 years of experience in relevant field",UPSC,DMRC Junior Engineer Recruitment 2026,5000
"Applications are invited for 150 positions of Assistant in All India Institute of Medical Sciences (AIIMS). Essential qualification is Ph.D. in relevant discipline. Upper age limit is 17.5-21 years as on closing date. Selection will be through written examination. Examination fee: ₹500. Remuneration: Level-1: ₹18,000-56,900. Online registration opens: 14nd February 2026. Last date for submission: 16/02/2027. Written test date: 04-04-2027. Desired experience: 5 years of experience in relevant field.","VACANCY_COUNT:150; POST_NAME:Assistant; ORGANIZATION:AIIMS; QUALIFICATION:Ph.D. in relevant discipline; AGE_LIMIT:17.5-21 years; APPLICATION_FEE:₹500; PAY_SCALE:Level-1: ₹18,000-56,900; START_DATE:14nd February 2026; LAST_DATE:16/02/2027; EXAM_DATE:04-04-2027; EXPERIENCE:5 years of experience in relevant field",AIIMS,DMRC Junior Engineer Recruitment 2026,150
"RECRUITMENT NOTIFICATION
Advertisement No. 8/2026
Organization: Food Corporation of India
Name of Post: Junior Analyst
No. of Vacancies: 5000
Qualification Required: Matriculation (10th pass) from recognized board
Maximum Age: 23-35 years
Fee: ₹100
Salary/Pay: Level-5: ₹29,200-92,300
Opening Date: 12-Mar-2026
Closing Date: 07/10/2027
Exam Date: 08/08/2027
Work Experience: 3 years of experience in relevant field","POST_NAME:Junior Analyst; VACANCY_COUNT:5000; QUALIFICATION:Matriculation (10th pass) from recognized board; AGE_LIMIT:23-35 years; APPLICATION_FEE:₹100; PAY_SCALE:Level-5: ₹29,200-92,300; START_DATE:12-Mar-2026; LAST_DATE:07/10/2027; EXAM_DATE:08/08/2027; EXPERIENCE:3 years of experience in relevant field",FCI,TSPSC Group-III Services Recruitment 2026,5000
"Applications are invited for 15 positions of Upper Division Clerk (UDC) in Bhabha Atomic Research Centre (BARC). Essential qualification is MCA from recognized university with minimum 55% marks. Upper age limit is 18-32 years as on closing date. Selection will be through written examination. Examination fee: ₹2000. Remuneration: ₹35,000-₹40,000 per month. Online registration opens: 01/01/2026. Last date for submission: 28.11.2027. Written test date: 26/05/2026. Desired experience: Freshers can apply.","VACANCY_COUNT:15; POST_NAME:Upper Division Clerk (UDC); ORGANIZATION:BARC; QUALIFICATION:MCA from recognized university with minimum 55% marks; AGE_LIMIT:18-32 years; APPLICATION_FEE:₹2000; PAY_SCALE:₹35,000-₹40,000 per month; START_DATE:01/01/2026; LAST_DATE:28.11.2027; EXAM_DATE:26/05/2026; EXPERIENCE:Freshers can apply",BARC,India Post Postal Assistant/SA Recruitment 2026,15
"Applications are invited for 100 positions of Technical Officer in Life Insurance Corporation of India (LIC). Essential qualification is MBA/PGDM from recognized institute. Upper age limit is 20-30 years as on closing date. Selection will be through written examination. Examination fee: ₹600. Remuneration: ₹44,900-₹1,42,400 (7th CPC). Online registration opens: 01/07/2026. Last date for submission: 13.03.2027. Written test date: 15 August, 2027. Desired experience: 2 years of experience in relevant field.","VACANCY_COUNT:100; POST_NAME:Technical Officer; ORGANIZATION:LIC; QUALIFICATION:MBA/PGDM from recognized institute; AGE_LIMIT:20-30 years; APPLICATION_FEE:₹600; PAY_SCALE:₹44,900-₹1,42,400 (7th CPC); START_DATE:01/07/2026; LAST_DATE:13.03.2027; EXAM_DATE:15 August, 2027; EXPERIENCE:2 years of experience in relevant field",LIC,Civil Services Examination (CSE) 2026,100
"Institute of Banking Personnel Selection (IBPS) has released notification for ESIC UDC/Stenographer/MTS Recruitment 2026. Total number of vacancies: 150 posts for the post of Postal Assistant. Educational Qualification: M.Tech in Computer Science/Information Technology. Age Limit: 19.5-25 years as on last date of application (relaxation for reserved categories as per govt rules). Application Fee: ₹750 for General/OBC candidates (SC/ST/PH candidates are exempted). Pay Scale: ₹35,000-₹40,000 per month. Application Start Date: 21 December, 2026. Last Date to Apply: 22/06/2026. Date of Examination: 23 October, 2027. Experience: 5 years of experience in relevant field.","ORGANIZATION:IBPS; VACANCY_COUNT:150; POST_NAME:Postal Assistant; QUALIFICATION:M.Tech in Computer Science/Information Technology; AGE_LIMIT:19.5-25 years; APPLICATION_FEE:₹750; PAY_SCALE:₹35,000-₹40,000 per month; START_DATE:21 December, 2026; LAST_DATE:22/06/2026; EXAM_DATE:23 October, 2027; EXPERIENCE:5 years of experience in relevant field",IBPS,ESIC UDC/Stenographer/MTS Recruitment 2026,150
"GOVERNMENT OF INDIA
Institute of Banking Personnel Selection
EMPLOYMENT NOTIFICATION NO. 44/2025

IBPS proposes to fill up 3 vacancies of Junior Accountant on direct recruitment basis.

1. ELIGIBILITY CRITERIA:
   (a) Educational Qualification: Ph.D. in relevant discipline
   (b) Age Limit: 18-30 years (Relaxation applicable as per Central Government Rules)
   (c) Experience: 3 years of experience in relevant field

2. PAY AND ALLOWANCES:
   ₹50,000-₹60,000 per month plus DA, HRA, and other allowances as per Central Government Rules.

3. APPLICATION FEE:
   ₹200 (SC/ST/Women/PwBD candidates exempted)

4. IMPORTANT DATES:
   Start Date of Online Application: 26.12.2026
   Last Date of Online Application: 04 December 2027
   Tentative Date of CBT/Examination: 11 April 2027","ORGANIZATION:IBPS; VACANCY_COUNT:3; POST_NAME:Junior Accountant; QUALIFICATION:Ph.D. in relevant discipline; AGE_LIMIT:18-30 years; EXPERIENCE:3 years of experience in relevant field; PAY_SCALE:₹50,000-₹60,000 per month; APPLICATION_FEE:₹200; START_DATE:26.12.2026; LAST_DATE:04 December 2027; EXAM_DATE:11 April 2027",IBPS,GAIL Executive Trainee through GATE 2026,3
"RECRUITMENT NOTIFICATION
Advertisement No. 6/2024
Organization: Delhi Metro Rail Corporation
Name of Post: Probationary Officer
No. of Vacancies: 27000
Qualification Required: B.Sc. Nursing from recognized institute
Maximum Age: 18-27 years
Fee: ₹1500
Salary/Pay: Level-14: ₹1,44,200-2,18,200
Opening Date: 23 January 2026
Closing Date: 16-05-2027
Exam Date: 05 February 2026
Work Experience: 5 years of experience in relevant field","POST_NAME:Probationary Officer; VACANCY_COUNT:27000; QUALIFICATION:B.Sc. Nursing from recognized institute; AGE_LIMIT:18-27 years; APPLICATION_FEE:₹1500; PAY_SCALE:Level-14: ₹1,44,200-2,18,200; START_DATE:23 January 2026; LAST_DATE:16-05-2027; EXAM_DATE:05 February 2026; EXPERIENCE:5 years of experience in relevant field",DMRC,BEL Trainee Engineer Recruitment 2026,27000
"Applications are invited for 14,000 positions of Forest Beat Officer in Oil & Natural Gas Corporation (ONGC). Essential qualification is B.Sc. in Computer Science/IT with minimum 60% marks. Upper age limit is 23-35 years as on closing date. Selection will be through written examination. Examination fee: No fee. Remuneration: Level-10: ₹56,100-1,77,500. Online registration opens: 07.05.2026. Last date for submission: 19-May-2026. Written test date: 25-12-2027. Desired experience: Freshers can apply.","VACANCY_COUNT:14,000; POST_NAME:Forest Beat Officer; ORGANIZATION:ONGC; QUALIFICATION:B.Sc. in Computer Science/IT with minimum 60% marks; AGE_LIMIT:23-35 years; APPLICATION_FEE:No fee; PAY_SCALE:Level-10: ₹56,100-1,77,500; START_DATE:07.05.2026; LAST_DATE:19-May-2026; EXAM_DATE:25-12-2027; EXPERIENCE:Freshers can apply",ONGC,LIC ADO Recruitment 2026,14000
"RECRUITMENT NOTIFICATION
Advertisement No. 1/2026
Organization: Employees Provident Fund Organisation
Name of Post: Forest Beat Officer
No. of Vacancies: 200
Qualification Required: B.Tech/B.E. in Computer Science/IT/Electronics from recognized university
Maximum Age: 18-30 years
Fee: ₹500
Salary/Pay: Pay Band-2: ₹9,300-34,800 + Grade Pay ₹4,200
Opening Date: 02.01.2026
Closing Date: 19rd June 2026
Exam Date: 14 January, 2027
Work Experience: 5 years of experience in relevant field","POST_NAME:Forest Beat Officer; VACANCY_COUNT:200; QUALIFICATION:B.Tech/B.E. in Computer Science/IT/Electronics from recognized university; AGE_LIMIT:18-30 years; APPLICATION_FEE:₹500; PAY_SCALE:Pay Band-2: ₹9,300-34,800 + Grade Pay ₹4,200; START_DATE:02.01.2026; LAST_DATE:19rd June 2026; EXAM_DATE:14 January, 2027; EXPERIENCE:5 years of experience in relevant field",EPFO,TSPSC Group-II Services Recruitment 2026,200
"WALK-IN INTERVIEW / RECRUITMENT DRIVE
Navodaya Vidyalaya Samiti (NVS)

Post: Degree College Lecturer
Number of Posts: 75 nos.
Qualification: M.Sc. in relevant subject with NET/SLET qualification
Age: Not exceeding 20-30 years
Consolidated Pay: Pay Band-2: ₹9,300-34,800 + Grade Pay ₹4,200
No application fee required.
Registration Date: 12.07.2026
Walk-in Date: 12.08.2027
Experience: Freshers eligible","ORGANIZATION:NVS; POST_NAME:Degree College Lecturer; VACANCY_COUNT:75; QUALIFICATION:M.Sc. in relevant subject with NET/SLET qualification; AGE_LIMIT:20-30 years; PAY_SCALE:Pay Band-2: ₹9,300-34,800 + Grade Pay ₹4,200; START_DATE:12.07.2026; LAST_DATE:12.08.2027; EXPERIENCE:Freshers eligible",NVS,ECIL Graduate Engineer Trainee (GET) Recruitment 2026,75
"Notification: BEL Trainee Engineer Recruitment 2026
Issued by: Centre for Development of Advanced Computing
Total posts to be filled: 500
Post name: Probationary Officer
Required qualification: Degree in Engineering with 2 years experience
Age criteria: 21-32 years
Exam fee: ₹1000
Pay after selection: ₹50,000-₹60,000 per month
Important dates - 
  Apply from: 18 October 2026
  Apply till: 19nd December 2026
  Exam on: 14 March, 2026
Experience criteria: 1 years of experience in relevant field","VACANCY_COUNT:500; POST_NAME:Probationary Officer; QUALIFICATION:Degree in Engineering with 2 years experience; AGE_LIMIT:21-32 years; APPLICATION_FEE:₹1000; PAY_SCALE:₹50,000-₹60,000 per month; START_DATE:18 October 2026; LAST_DATE:19nd December 2026; EXAM_DATE:14 March, 2026; EXPERIENCE:1 years of experience in relevant field",CDAC,BEL Trainee Engineer Recruitment 2026,500
"ONGC Recruitment 2024 - PGT Computer Science

The Oil & Natural Gas Corporation has announced 20 vacancies.
Eligible candidates having M.Sc. in relevant subject with NET/SLET qualification can apply.
Candidates age should not exceed 23-35 years.
Pay: ₹50,000-₹60,000 per month
Fee: ₹2000
Apply from: 4-Feb-2026
Apply before: 12.07.2026
Exam: 21 May, 2026
Experience required: 2 years of experience in relevant field","ORGANIZATION:ONGC; VACANCY_COUNT:20; POST_NAME:PGT Computer Science; QUALIFICATION:M.Sc. in relevant subject with NET/SLET qualification; AGE_LIMIT:23-35 years; PAY_SCALE:₹50,000-₹60,000 per month; APPLICATION_FEE:₹2000; START_DATE:4-Feb-2026; LAST_DATE:12.07.2026; EXAM_DATE:21 May, 2026; EXPERIENCE:2 years of experience in relevant field",ONGC,Engineering Services Examination (ESE) 2026,20
"Telangana PUBLIC SERVICE COMMISSION
NOTIFICATION NO. 5/2024

The Telangana Public Service Commission (TSPSC) invites applications for recruitment to the post of Technical Officer.

Total Vacancies: 500 posts
Educational Qualification: M.Sc. in relevant subject with NET/SLET qualification
Age: 18-25 years as on 01/07/2025
Fee: ₹100
Pay Scale: Level-3: ₹21,700-69,100
Registration Start: 20 June, 2026
Last Date to Apply: 23th February 2026
Preliminary Exam Date: 2th August 2027
Experience: 5 years of experience in relevant field
Selection: Prelims + Mains + Interview","ORGANIZATION:TSPSC; POST_NAME:Technical Officer; VACANCY_COUNT:500; QUALIFICATION:M.Sc. in relevant subject with NET/SLET qualification; AGE_LIMIT:18-25 years; APPLICATION_FEE:₹100; PAY_SCALE:Level-3: ₹21,700-69,100; START_DATE:20 June, 2026; LAST_DATE:23th February 2026; EXAM_DATE:2th August 2027; EXPERIENCE:5 years of experience in relevant field",TSPSC,IBPS Clerk Recruitment CRP Clerks-XIV,500
"National Testing Agency
RECRUITMENT OF PRIMARY TEACHER (PRT) - 2025

NTA invites applications from eligible Indian Citizens for appointment of Primary Teacher (PRT) in various branches/offices across India.

Vacancies: 15 (including backlog)
Category-wise: UR-6, OBC-4, SC-2, ST-1, EWS-1

Eligibility: M.Tech in Computer Science/Information Technology
Age on cutoff date: 21-32 years
Fee: ₹750 + GST for General/OBC, Nil for SC/ST/PwBD
CTC: Pay Band-3: ₹15,600-39,100 + Grade Pay ₹5,400 approximately
Online application: 17th August 2026 to 19rd November 2027
Online exam: 22 March, 2026
Experience: 2 years of experience in relevant field","ORGANIZATION:NTA; POST_NAME:Primary Teacher (PRT); VACANCY_COUNT:15; QUALIFICATION:M.Tech in Computer Science/Information Technology; AGE_LIMIT:21-32 years; APPLICATION_FEE:₹750; PAY_SCALE:Pay Band-3: ₹15,600-39,100 + Grade Pay ₹5,400; START_DATE:17th August 2026; LAST_DATE:19rd November 2027; EXAM_DATE:22 March, 2026; EXPERIENCE:2 years of experience in relevant field",NTA,Indian Navy Agniveer SSR/MR 2026,15
"CDAC Recruitment 2026 - Project Engineer

The Centre for Development of Advanced Computing has announced 2 vacancies.
Eligible candidates having Bachelor Degree in any discipline from recognized university can apply.
Candidates age should not exceed 18-30 years.
Pay: Level-10: ₹56,100-1,77,500
Fee: ₹250
Apply from: 18-Aug-2026
Apply before: 22/08/2027
Exam: 10.06.2026
Experience required: 1 years of experience in relevant field","ORGANIZATION:CDAC; VACANCY_COUNT:2; POST_NAME:Project Engineer; QUALIFICATION:Bachelor Degree in any discipline from recognized university; AGE_LIMIT:18-30 years; PAY_SCALE:Level-10: ₹56,100-1,77,500; APPLICATION_FEE:₹250; START_DATE:18-Aug-2026; LAST_DATE:22/08/2027; EXAM_DATE:10.06.2026; EXPERIENCE:1 years of experience in relevant field",CDAC,CSIR NET June 2026,2
"Defence Research & Development Organisation (DRDO) has released notification for BEL Trainee Engineer Recruitment 2026. Total number of vacancies: 27000 posts for the post of Probationary Officer. Educational Qualification: Matriculation (10th pass) from recognized board. Age Limit: 19.5-25 years as on last date of application (relaxation for reserved categories as per govt rules). Application Fee: ₹300 for General/OBC candidates (SC/ST/PH candidates are exempted). Pay Scale: Level-3: ₹21,700-69,100. Application Start Date: 03.02.2026. Last Date to Apply: 20 February 2027. Date of Examination: 2rd October 2026. Experience: 5 years of experience in relevant field.","ORGANIZATION:DRDO; VACANCY_COUNT:27000; POST_NAME:Probationary Officer; QUALIFICATION:Matriculation (10th pass) from recognized board; AGE_LIMIT:19.5-25 years; APPLICATION_FEE:₹300; PAY_SCALE:Level-3: ₹21,700-69,100; START_DATE:03.02.2026; LAST_DATE:20 February 2027; EXAM_DATE:2rd October 2026; EXPERIENCE:5 years of experience in relevant field",DRDO,BEL Trainee Engineer Recruitment 2026,27000
"GOVERNMENT OF INDIA
Software Technology Parks of India
EMPLOYMENT NOTIFICATION NO. 22/2025

STPI proposes to fill up 2000 vacancies of Fitter on direct recruitment basis.

1. ELIGIBILITY CRITERIA:
   (a) Educational Qualification: MBA/PGDM from recognized institute
   (b) Age Limit: 18-27 years (Relaxation applicable as per Central Government Rules)
   (c) Experience: Freshers can apply

2. PAY AND ALLOWANCES:
   ₹35,000-₹40,000 per month plus DA, HRA, and other allowances as per Central Government Rules.

3. APPLICATION FEE:
   ₹300 (SC/ST/Women/PwBD candidates exempted)

4. IMPORTANT DATES:
   Start Date of Online Application: 01-07-2026
   Last Date of Online Application: 5th May 2026
   Tentative Date of CBT/Examination: 27-May-2027","ORGANIZATION:STPI; VACANCY_COUNT:2000; POST_NAME:Fitter; QUALIFICATION:MBA/PGDM from recognized institute; AGE_LIMIT:18-27 years; EXPERIENCE:Freshers can apply; PAY_SCALE:₹35,000-₹40,000 per month; APPLICATION_FEE:₹300; START_DATE:01-07-2026; LAST_DATE:5th May 2026; EXAM_DATE:27-May-2027",STPI,TSPSC Group-II Services Recruitment 2026,2000
"WALK-IN INTERVIEW / RECRUITMENT DRIVE
Oil & Natural Gas Corporation (ONGC)

Post: Upper Division Clerk (UDC)
Number of Posts: 10 nos.
Qualification: B.Ed. with B.Sc. in relevant subject
Age: Not exceeding 23-35 years
Consolidated Pay: Level-12: ₹78,800-2,09,200
No application fee required.
Registration Date: 07-07-2026
Walk-in Date: 24 November 2026
Experience: No experience required","ORGANIZATION:ONGC; POST_NAME:Upper Division Clerk (UDC); VACANCY_COUNT:10; QUALIFICATION:B.Ed. with B.Sc. in relevant subject; AGE_LIMIT:23-35 years; PAY_SCALE:Level-12: ₹78,800-2,09,200; START_DATE:07-07-2026; LAST_DATE:24 November 2026; EXPERIENCE:No experience required",ONGC,BHEL Engineer Trainee through GATE 2026,10
"Staff Selection Commission (SSC) has released notification for Engineering Services Examination (ESE) 2026. Total number of vacancies: 3 posts for the post of Draughtsman. Educational Qualification: B.Ed. with B.Sc. in relevant subject. Age Limit: 25-40 years as on last date of application (relaxation for reserved categories as per govt rules). Application Fee: ₹600 for General/OBC candidates (SC/ST/PH candidates are exempted). Pay Scale: Level-2: ₹19,900-63,200. Application Start Date: 26-Apr-2026. Last Date to Apply: 1nd August 2026. Date of Examination: 18.07.2026. Experience: 5 years of experience in relevant field.","ORGANIZATION:SSC; VACANCY_COUNT:3; POST_NAME:Draughtsman; QUALIFICATION:B.Ed. with B.Sc. in relevant subject; AGE_LIMIT:25-40 years; APPLICATION_FEE:₹600; PAY_SCALE:Level-2: ₹19,900-63,200; START_DATE:26-Apr-2026; LAST_DATE:1nd August 2026; EXAM_DATE:18.07.2026; EXPERIENCE:5 years of experience in relevant field",SSC,Engineering Services Examination (ESE) 2026,3
"Indian Oil Corporation Limited
RECRUITMENT OF CLERK - 2026

IOCL invites applications from eligible Indian Citizens for appointment of Clerk in various branches/offices across India.

Vacancies: 1 (including backlog)
Category-wise: UR-0, OBC-0, SC-0, ST-0, EWS-0

Eligibility: Any Degree with knowledge of Computer Applications
Age on cutoff date: 20-30 years
Fee: ₹250 + GST for General/OBC, Nil for SC/ST/PwBD
CTC: ₹35,000-₹40,000 per month approximately
Online application: 08-12-2026 to 07-01-2027
Online exam: 10/12/2027
Experience: 5 years of experience in relevant field","ORGANIZATION:IOCL; POST_NAME:Clerk; VACANCY_COUNT:1; QUALIFICATION:Any Degree with knowledge of Computer Applications; AGE_LIMIT:20-30 years; APPLICATION_FEE:₹250; PAY_SCALE:₹35,000-₹40,000 per month; START_DATE:08-12-2026; LAST_DATE:07-01-2027; EXAM_DATE:10/12/2027; EXPERIENCE:5 years of experience in relevant field",IOCL,NTPC Executive Trainee through GATE 2026,1
"WALK-IN INTERVIEW / RECRUITMENT DRIVE
Airports Authority of India (AAI)

Post: ASI
Number of Posts: 14000 nos.
Qualification: Degree in Engineering with 2 years experience
Age: Not exceeding 18-35 years
Consolidated Pay: Pay Band-2: ₹9,300-34,800 + Grade Pay ₹4,200
No application fee required.
Registration Date: 13-07-2026
Walk-in Date: 3th December 2027
Experience: 1 years of experience in relevant field","ORGANIZATION:AAI; POST_NAME:ASI; VACANCY_COUNT:14000; QUALIFICATION:Degree in Engineering with 2 years experience; AGE_LIMIT:18-35 years; PAY_SCALE:Pay Band-2: ₹9,300-34,800 + Grade Pay ₹4,200; START_DATE:13-07-2026; LAST_DATE:3th December 2027; EXPERIENCE:1 years of experience in relevant field",AAI,Stenographer Grade C & D Recruitment 2026,14000
"Notification: BEL Trainee Engineer Recruitment 2026
Issued by: Software Technology Parks of India
Total posts to be filled: 2
Post name: Graduate Engineer Trainee (GET)
Required qualification: M.Tech in Computer Science/Information Technology
Age criteria: 23-35 years
Exam fee: ₹200
Pay after selection: Level-2: ₹19,900-63,200
Important dates - 
  Apply from: 6 January, 2026
  Apply till: 9-Aug-2026
  Exam on: 14-06-2027
Experience criteria: No experience required","VACANCY_COUNT:2; POST_NAME:Graduate Engineer Trainee (GET); QUALIFICATION:M.Tech in Computer Science/Information Technology; AGE_LIMIT:23-35 years; APPLICATION_FEE:₹200; PAY_SCALE:Level-2: ₹19,900-63,200; START_DATE:6 January, 2026; LAST_DATE:9-Aug-2026; EXAM_DATE:14-06-2027; EXPERIENCE:No experience required",STPI,BEL Trainee Engineer Recruitment 2026,2
"Telangana PUBLIC SERVICE COMMISSION
NOTIFICATION NO. 28/2024

The Telangana Public Service Commission (TSPSC) invites applications for recruitment to the post of Agniveer (Technical).

Total Vacancies: 3000 posts
Educational Qualification: B.E./B.Tech in any engineering discipline with valid GATE score
Age: 18-32 years as on 01/07/2026
Fee: ₹100
Pay Scale: Level-14: ₹1,44,200-2,18,200
Registration Start: 20 November 2026
Last Date to Apply: 19.11.2026
Preliminary Exam Date: 28.02.2027
Experience: 3 years of experience in relevant field
Selection: Prelims + Mains + Interview","ORGANIZATION:TSPSC; POST_NAME:Agniveer (Technical); VACANCY_COUNT:3000; QUALIFICATION:B.E./B.Tech in any engineering discipline with valid GATE score; AGE_LIMIT:18-32 years; APPLICATION_FEE:₹100; PAY_SCALE:Level-14: ₹1,44,200-2,18,200; START_DATE:20 November 2026; LAST_DATE:19.11.2026; EXAM_DATE:28.02.2027; EXPERIENCE:3 years of experience in relevant field",TSPSC,India Post GDS Recruitment 2026,3000
"Telangana PUBLIC SERVICE COMMISSION
NOTIFICATION NO. 7/2025

The Telangana Public Service Commission (TSPSC) invites applications for recruitment to the post of Clerk.

Total Vacancies: 1 posts
Educational Qualification: Post Graduate Degree in relevant subject with UGC NET
Age: 18-30 years as on 01/07/2025
Fee: ₹250
Pay Scale: ₹35,000-₹40,000 per month
Registration Start: 16.06.2026
Last Date to Apply: 27/09/2026
Preliminary Exam Date: 5nd March 2026
Experience: 5 years of experience in relevant field
Selection: Prelims + Mains + Interview","ORGANIZATION:TSPSC; POST_NAME:Clerk; VACANCY_COUNT:1; QUALIFICATION:Post Graduate Degree in relevant subject with UGC NET; AGE_LIMIT:18-30 years; APPLICATION_FEE:₹250; PAY_SCALE:₹35,000-₹40,000 per month; START_DATE:16.06.2026; LAST_DATE:27/09/2026; EXAM_DATE:5nd March 2026; EXPERIENCE:5 years of experience in relevant field",TSPSC,APPSC Group-II Services Recruitment 2026,1
"The STPI invites online applications from eligible candidates for direct recruitment to 27000 posts of TGT Mathematics in Software Technology Parks of India. Candidates should possess Ph.D. in relevant discipline. The age of the candidate should be between 21-35 years. Application fee is ₹500. The pay scale for the post is Level-12: ₹78,800-2,09,200. Interested candidates may apply online from 07-08-2026 to 14rd August 2026. The computer based test is tentatively scheduled on 8 May, 2027. Required experience: 1 years of experience in relevant field.","ORGANIZATION:STPI; VACANCY_COUNT:27000; POST_NAME:TGT Mathematics; QUALIFICATION:Ph.D. in relevant discipline; AGE_LIMIT:21-35 years; APPLICATION_FEE:₹500; PAY_SCALE:Level-12: ₹78,800-2,09,200; START_DATE:07-08-2026; LAST_DATE:14rd August 2026; EXAM_DATE:8 May, 2027; EXPERIENCE:1 years of experience in relevant field",STPI,RBI Grade B Officer Recruitment 2026,27000
"Telangana State Public Service Commission (TSPSC) has released notification for TSPSC Forest Range Officer Recruitment 2026. Total number of vacancies: 500 posts for the post of Panchayat Secretary. Educational Qualification: Bachelor Degree in any discipline from recognized university. Age Limit: 18-32 years as on last date of application (relaxation for reserved categories as per govt rules). Application Fee: No fee for General/OBC candidates (SC/ST/PH candidates are exempted). Pay Scale: ₹50,000-₹60,000 per month. Application Start Date: 11 May 2026. Last Date to Apply: 17 November, 2026. Date of Examination: 16/07/2026. Experience: 3 years of experience in relevant field.","ORGANIZATION:TSPSC; VACANCY_COUNT:500; POST_NAME:Panchayat Secretary; QUALIFICATION:Bachelor Degree in any discipline from recognized university; AGE_LIMIT:18-32 years; APPLICATION_FEE:No fee; PAY_SCALE:₹50,000-₹60,000 per month; START_DATE:11 May 2026; LAST_DATE:17 November, 2026; EXAM_DATE:16/07/2026; EXPERIENCE:3 years of experience in relevant field",TSPSC,TSPSC Forest Range Officer Recruitment 2026,500
"The APPSC invites online applications from eligible candidates for direct recruitment to 2 posts of Primary Teacher (PRT) in Andhra Pradesh Public Service Commission. Candidates should possess Post Graduate Degree in relevant subject with UGC NET. The age of the candidate should be between 18-32 years. Application fee is ₹1000. The pay scale for the post is Level-6: ₹35,400-1,12,400. Interested candidates may apply online from 24 September, 2026 to 11-12-2027. The computer based test is tentatively scheduled on 24 May, 2026. Required experience: 2 years of experience in relevant field.","ORGANIZATION:APPSC; VACANCY_COUNT:2; POST_NAME:Primary Teacher (PRT); QUALIFICATION:Post Graduate Degree in relevant subject with UGC NET; AGE_LIMIT:18-32 years; APPLICATION_FEE:₹1000; PAY_SCALE:Level-6: ₹35,400-1,12,400; START_DATE:24 September, 2026; LAST_DATE:11-12-2027; EXAM_DATE:24 May, 2026; EXPERIENCE:2 years of experience in relevant field",APPSC,RRB JE Recruitment 2026,2
"Notification: India Post GDS Recruitment 2026
Issued by: Defence Research & Development Organisation
Total posts to be filled: 75
Post name: PGT Computer Science
Required qualification: ITI in relevant trade with NCVT certificate
Age criteria: 18-30 years
Exam fee: ₹1000
Pay after selection: Pay Band-2: ₹9,300-34,800 + Grade Pay ₹4,200
Important dates - 
  Apply from: 1rd May 2026
  Apply till: 22-Nov-2027
  Exam on: 20.04.2026
Experience criteria: 2 years of experience in relevant field","VACANCY_COUNT:75; POST_NAME:PGT Computer Science; QUALIFICATION:ITI in relevant trade with NCVT certificate; AGE_LIMIT:18-30 years; APPLICATION_FEE:₹1000; PAY_SCALE:Pay Band-2: ₹9,300-34,800 + Grade Pay ₹4,200; START_DATE:1rd May 2026; LAST_DATE:22-Nov-2027; EXAM_DATE:20.04.2026; EXPERIENCE:2 years of experience in relevant field",DRDO,India Post GDS Recruitment 2026,75
"Telangana PUBLIC SERVICE COMMISSION
NOTIFICATION NO. 25/2026

The Telangana Public Service Commission (TSPSC) invites applications for recruitment to the post of Gramin Dak Sevak.

Total Vacancies: 150 posts
Educational Qualification: B.Sc. Nursing from recognized institute
Age: 20-30 years as on 01/07/2025
Fee: ₹100
Pay Scale: Level-12: ₹78,800-2,09,200
Registration Start: 3-Aug-2026
Last Date to Apply: 13/11/2027
Preliminary Exam Date: 20-12-2027
Experience: 2 years of experience in relevant field
Selection: Prelims + Mains + Interview","ORGANIZATION:TSPSC; POST_NAME:Gramin Dak Sevak; VACANCY_COUNT:150; QUALIFICATION:B.Sc. Nursing from recognized institute; AGE_LIMIT:20-30 years; APPLICATION_FEE:₹100; PAY_SCALE:Level-12: ₹78,800-2,09,200; START_DATE:3-Aug-2026; LAST_DATE:13/11/2027; EXAM_DATE:20-12-2027; EXPERIENCE:2 years of experience in relevant field",TSPSC,APPSC Group-II Services Recruitment 2026,150
